"no_nas";"nm_nas";"no_ident";"jns_ident";"created_at_kantor";"masa_ident";"tgl_ident";"acc_off";"bntk_hkm";"gol_pemilik";"status_nas";"flag_hub_bank";"sumber_dana";"tujuan_dana";"maks_trans";"penghasilan_bulan";"penghasilan_lainnya";"pengeluaran_bulan";"pengeluaran_lainnya";"npwp";"no_telp";"email";"bidang_usaha"
"767fc894-2b35-4b3a-bc5a-21c9d699fee7";"Namaga Humaira";"2edacd2f-f30d-414f-a9b7-0861e6a639fe";"3";"270";"1";"2024-08-09";"EcC";"19";"8";"""00""";"false";"1";"4";"1";"2";"0";"0";"1";"408afd6e-30dc-4aa6-aec9-ae298ce49e40";"+62 (168) 5786-1836";"Nadia_Hariyah@gmail.co.id";"8"
"50ed2e47-5a66-41ca-99c2-bff911278e5e";"Saefullah Radika";"289a5e82-f5d1-4c77-9391-c9c8da2836bb";"1";"343";"0";"2024-08-09";"cYv";"7";"4";"""01""";"false";"4";"1";"3";"0";"0";"0";"3";"2685b849-acad-4cb4-bce6-c96d9b7ac50c";"+62 (771) 4002-1411";"Natalia_Saputri23@gmail.co.id";"0"
"c98f6d66-0dd4-4f11-a510-88232b7386b0";"Nanda Prayoga";"25f4cb05-b71e-4de5-b52b-835d45a631a7";"4";"85";"0";"2024-08-09";"DVr";"16";"5";"""01""";"true";"0";"3";"0";"0";"4";"1";"3";"4e706c6d-af44-45f5-af64-5fb749116833";"+62 (291) 6682-6638";"Kenzie_Suwarno23@yahoo.com";"5"
"38fce2fc-284f-4e10-87ec-ca0340d23b04";"Abiputra Maras";"6e3a42b6-95e2-4b38-b858-bd53e6ba9917";"2";"193";"1";"2024-08-09";"FZl";"16";"7";"""00""";"true";"3";"0";"3";"0";"4";"4";"0";"41e3fe5b-c506-44fc-aafc-bb432f9b0b2a";"+62 (801) 2314-2552";"Agustina.Fujiati10@yahoo.co.id";"8"
"4078da11-f31c-439c-a493-596b4d28f362";"Kariman Kariman Antoni";"805d2cf3-bba6-4b04-a326-f5570e03d059";"1";"304";"0";"2024-08-09";"LlD";"7";"17";"""01""";"false";"0";"4";"1";"3";"0";"3";"4";"bbb19736-82d6-439e-843c-cb8edea78a39";"+62 (569) 4101-1887";"Calista.Hariyah@gmail.co.id";"0"
"9e60f03e-a78f-452e-a758-3f83999c5ba9";"Nugroho Harsaya";"adbaf776-2e46-4ae0-8655-226877de05d9";"2";"367";"0";"2024-08-09";"bNO";"1";"7";"""00""";"false";"3";"4";"0";"1";"3";"2";"1";"fccc73b8-ff5b-492b-92a1-a8539397edb9";"+62 (085) 8099-9345";"Purwa.Hidayanto@gmail.com";"1"
"7a2d5b60-7f17-47e0-8315-8c6e1be5d7b9";"Viktor Wasita";"e76df4ae-d261-433f-8359-c6603ae0b6f5";"4";"429";"0";"2024-08-09";"QnZ";"7";"8";"""01""";"true";"3";"2";"3";"3";"0";"0";"4";"99d45a88-b6fc-464b-89cf-09455f797aca";"+62 (958) 5332-0201";"Ellis15@yahoo.co.id";"1"
"b4f2e20c-ea7e-4688-8571-7875aa3c0a9c";"Ria Laksita";"e36b8075-cba6-4eaf-90fb-2b082faf0acd";"3";"375";"1";"2024-08-09";"Nnb";"13";"18";"""01""";"true";"4";"1";"2";"3";"3";"1";"3";"2c001368-b9d5-4a0b-8339-2fbf652f19e0";"+62 (763) 6630-0186";"Emas50@gmail.co.id";"8"
"5ccefc9f-610b-42cd-8d36-14831b0cbc7b";"Balidin Wibisono";"bc5fff22-dc46-4bc4-a16b-0ab99a332201";"4";"189";"1";"2024-08-09";"DQf";"4";"0";"""01""";"true";"3";"2";"0";"3";"1";"4";"4";"201fe12e-f704-4dbb-8c81-35316df60942";"+62 (664) 4259-4736";"Baktianto66@gmail.com";"2"
"0d4e98f5-416d-4ad7-9227-1e4bd1065fd5";"Lukman Handoko";"39a6a577-85f4-4ff6-9d6c-422d70281eeb";"3";"210";"0";"2024-08-09";"aPh";"11";"3";"""01""";"true";"3";"4";"4";"4";"1";"4";"0";"f6f3632f-ca1e-4a96-9ec4-47070d814b9c";"+62 (991) 2138-9791";"Amelia27@yahoo.com";"6"
"d0343aa6-223d-4221-ad14-6095ed192880";"Utama Unggul";"9b682802-a4aa-4a97-bd80-e907fa22e5c1";"1";"110";"1";"2024-08-09";"lxl";"14";"1";"""01""";"false";"2";"1";"3";"4";"2";"1";"4";"fcd0ff9e-5728-47f8-8caf-2f43b4fef351";"+62 (177) 2823-6536";"Vero_Sabian@yahoo.com";"7"
"c592f59e-8599-448c-9c23-323a6b36919d";"Riyanti Aulia";"f98f9bcb-f889-4233-aaaf-1582631f38f8";"1";"44";"0";"2024-08-09";"Dpa";"13";"5";"""01""";"false";"1";"0";"2";"2";"2";"0";"3";"cd786c10-3d97-437f-8fca-2d3ba2f44285";"+62 (839) 5127-5238";"Puspa_Damayanti78@gmail.co.id";"10"
"86cad152-a856-43f7-851a-ef86ba293e4c";"Sakura Sakura Farida";"558ae2ba-30bd-47e7-8ec1-0fc7479011bd";"4";"366";"1";"2024-08-09";"ggg";"9";"19";"""00""";"false";"2";"2";"0";"0";"0";"3";"0";"08a5cb9e-7928-4dcb-9451-865cad7d5855";"+62 (625) 8229-4008";"Embuh63@yahoo.co.id";"2"
"5851d5eb-4800-49fe-9526-8074758c55e2";"Namaga Puji";"b5892212-faa5-4926-b4ec-15a7a245fd1d";"4";"449";"0";"2024-08-09";"Glk";"6";"16";"""00""";"true";"3";"1";"1";"3";"2";"3";"4";"dbd5276e-3c39-402e-89f6-985d1fa12442";"+62 (111) 7077-8201";"Muhammad_Adriansyah@yahoo.co.id";"9"
"0b7d466e-8661-4bab-8168-448d35b395bf";"Lestari Hastuti";"b9719cea-c08a-42da-881c-526472a1ebd1";"3";"239";"1";"2024-08-09";"irW";"1";"6";"""01""";"false";"3";"3";"2";"3";"3";"1";"0";"a9f7b63e-79f2-48e8-b9da-6985258ef0cf";"+62 (849) 9651-0177";"Alika24@yahoo.com";"0"
"cdad7ac2-e3c6-4d1b-acec-e3375f2c7303";"Saputra Mustika";"c184124d-9784-4580-8db7-fda16b0e526c";"1";"459";"1";"2024-08-09";"nSI";"3";"9";"""01""";"false";"3";"1";"3";"4";"0";"0";"0";"d6b2d49f-a343-454e-96e0-3d66e7f6e39e";"+62 (974) 4920-5738";"Panca_Wijaya@yahoo.com";"2"
"ecef0082-1165-4207-b2cf-4c3a9aba4e6f";"Tarihoran Eluh";"db4f0fe5-23fa-4b04-babb-2e8c8c597cf1";"2";"139";"1";"2024-08-09";"vdv";"17";"10";"""00""";"false";"3";"4";"2";"1";"0";"2";"1";"9bf43649-23e2-4c97-a9c4-d02c26178a5d";"+62 (969) 3963-6334";"Victoria.Andini@gmail.co.id";"10"
"e42da4c7-bd5c-4477-a136-a7a6e0798d0e";"Mulyanto Mulyanto Sitompul";"cd7cdf6c-c7d0-488f-8902-015a632977f0";"2";"440";"1";"2024-08-09";"ftK";"20";"6";"""00""";"false";"2";"2";"0";"2";"2";"1";"3";"6351a505-f231-46c9-ac03-a49ffc450e28";"+62 (561) 4836-6502";"Capa.Narpati85@gmail.co.id";"4"
"40784965-6a35-4c68-b664-313b56d8cf5a";"Victoria Fernanda";"2e9bafcc-8056-46ec-94ee-7e0d6849c2d0";"2";"330";"1";"2024-08-09";"oDH";"2";"19";"""01""";"false";"2";"1";"0";"0";"2";"1";"3";"cccc157a-e060-4b35-8d70-38390abf9c02";"+62 (548) 5651-2121";"Rizki.Irfandi@yahoo.co.id";"7"
"1047fbe3-b6b4-44c4-87b5-22e8a53348b5";"Ilyas Ilyas Oktavian";"421b9132-b488-48d3-9f31-dd526c7f6d1f";"3";"278";"0";"2024-08-09";"pgt";"8";"10";"""00""";"true";"0";"1";"2";"0";"1";"1";"2";"b7164a94-0e12-48b2-80ed-af31430bb545";"+62 (631) 5295-9381";"Zelaya33@yahoo.co.id";"6"
"f536375b-f2d7-4338-aaeb-9977e9d9c93c";"Ajeng Ajeng Azizah";"f243cbb8-5c87-4793-8b29-123ddf49776c";"2";"445";"0";"2024-08-09";"Ntt";"7";"2";"""01""";"true";"4";"4";"3";"1";"1";"1";"0";"7112ba0d-cd80-45c8-b514-47d677388d40";"+62 (176) 9918-6273";"Gina_Usada75@gmail.com";"4"
"ab6cdf79-0cc7-46bb-a4e0-f1f08d6ed3b4";"Manullang Omar";"4a075087-23c2-4994-a13a-be91d77939e9";"1";"118";"1";"2024-08-09";"Hso";"19";"4";"""01""";"false";"4";"4";"1";"2";"4";"1";"4";"1c177311-5243-4d2e-bf03-51b30f30ec74";"+62 (775) 7317-3151";"Siti.Namaga75@yahoo.co.id";"6"
"fbf4bf7e-e65c-4d36-9677-c8b82d88c72c";"Daliman Rajata";"5b1c044f-f456-4766-92e8-7a1988653833";"4";"259";"0";"2024-08-09";"scq";"13";"1";"""01""";"true";"2";"4";"3";"0";"3";"3";"3";"9a84b191-5c99-4f2d-b292-e446df467012";"+62 (970) 8493-9132";"Shakila95@yahoo.com";"3"
"31f68386-37a1-496d-b13b-9429ac5d3b89";"Puspa Puspa Kuswandari";"d2041b36-fbc6-46c9-b585-247bc0bf8bf2";"2";"220";"1";"2024-08-09";"uyz";"2";"15";"""01""";"true";"2";"4";"3";"1";"1";"2";"3";"0b5ba153-380e-43f5-adb2-414a11b521d1";"+62 (901) 3916-6959";"Mitra_Siregar@yahoo.co.id";"2"
"dd9f1a62-8549-4b85-9828-4247e5d00304";"Wibowo Luis";"3366b6be-3b11-4be2-871f-6b8c61578c4b";"3";"198";"0";"2024-08-09";"frd";"5";"19";"""01""";"true";"2";"4";"1";"1";"3";"4";"1";"45d959f5-f845-4e38-bd37-b4d37bcf1b17";"+62 (554) 4710-9239";"Kamal_Lazuardi@yahoo.com";"4"
"5a970611-abc6-4d89-a7bd-ed3c3c43b0b4";"Gamanto Gamanto Gunawan";"47991683-2e77-418d-93bc-3020a2a6c291";"4";"94";"1";"2024-08-09";"bVJ";"6";"11";"""01""";"true";"3";"4";"4";"2";"0";"1";"1";"aba5ba4b-0ec0-410f-84de-a7ae44e3b26e";"+62 (888) 8816-1466";"Ihsan91@yahoo.com";"0"
"a0de16aa-36ac-4be2-ab5f-1e5f43e54ce3";"Dimas Dimas Kusumo";"9f7a995c-d7e6-4e3d-93d8-31f3cc5dbcda";"3";"345";"0";"2024-08-09";"VfL";"18";"19";"""00""";"false";"0";"1";"1";"1";"0";"4";"1";"4a6dc25e-cf04-4b46-af09-2aebe6e55012";"+62 (943) 0183-1895";"Cahyadi.Suryono58@gmail.co.id";"1"
"3ae07dba-56d6-4574-956d-d5b12e9353d6";"Nasim Gunarto";"9420a4ca-8b35-43c9-9cfd-3a2e8d8e3a04";"1";"202";"0";"2024-08-09";"jGC";"1";"19";"""01""";"false";"0";"3";"1";"3";"1";"2";"1";"ce476f88-0b12-42e6-9e7e-b7d598ad1bca";"+62 (654) 8782-4605";"Puspa10@gmail.com";"9"
"2ac45eb8-2436-4e74-8442-140053a08b21";"Kuswandari Hana";"b7851da2-37a2-4fde-b857-4f8110851e33";"3";"412";"1";"2024-08-09";"Yzx";"2";"13";"""00""";"true";"4";"0";"4";"3";"0";"3";"1";"3574a1a8-ed94-40bc-91ac-ebe8275c93ba";"+62 (869) 0723-6788";"Dalima_Aqila37@gmail.com";"8"
"439c685a-e64f-418a-a6b4-0dc3d459bddd";"Diana Diana Hartati";"bd770b6f-ee8e-4c03-8df9-8272f9306f1b";"2";"60";"1";"2024-08-09";"XQX";"13";"7";"""00""";"false";"2";"3";"0";"2";"3";"0";"4";"b168e5a3-2781-496e-a821-b6807e309b20";"+62 (640) 2834-6805";"Malika_Mustika32@yahoo.co.id";"3"
"c7e509e8-7c9e-48bf-a582-7cdfb627a6cd";"Damanik Agus";"f1e279d5-bda8-4061-b9e4-915fc8884a9a";"2";"428";"1";"2024-08-09";"KKC";"3";"18";"""01""";"false";"1";"0";"2";"4";"1";"1";"0";"635c69ed-f9cd-4475-a3c8-1067559be6c6";"+62 (044) 4875-4980";"Jelita78@gmail.co.id";"7"
"8a86d4bf-3f01-433a-8b6b-0a2c7159e43f";"Asirwada Yulianto";"90879d00-83cb-470c-b05b-88fd1c35b172";"4";"57";"0";"2024-08-09";"wcK";"8";"9";"""01""";"true";"3";"0";"4";"0";"0";"1";"2";"7d2a1249-16e6-444d-82a9-bafe7abf6ce4";"+62 (408) 6367-9496";"Irma.Usamah90@yahoo.co.id";"5"
"bb804b3b-6fc7-4f44-b8a0-7f9d16132e5d";"Sudiati Pratiwi";"d74bd9f5-6725-4752-8a25-a12fb747710f";"2";"500";"0";"2024-08-09";"gXz";"8";"6";"""00""";"true";"4";"0";"4";"0";"3";"2";"2";"817c617c-89ac-4f45-b416-611dc6d824b1";"+62 (075) 8316-2090";"Victoria79@yahoo.co.id";"6"
"7fc25953-b7d8-4de3-8e6b-abb0d0bf4bef";"Najwa Yuliarti";"b6d6d98f-bb72-4333-84a3-0ab935af4a2a";"1";"300";"0";"2024-08-09";"YWq";"1";"20";"""01""";"false";"4";"4";"3";"3";"0";"4";"1";"ab9f8517-7de9-49a9-b530-d4d04fe9624a";"+62 (931) 0567-3834";"Edi.Yanuar@gmail.com";"5"
"7af92ccb-28c2-4005-a6c9-23319b7b1c85";"Ardiyanti Nada";"36a33979-9f8e-44fa-993d-dadaf9114b83";"1";"40";"1";"2024-08-09";"Rvr";"12";"14";"""01""";"true";"3";"0";"0";"0";"1";"2";"3";"eb1dfe75-b908-4904-ba21-b66480f0b58c";"+62 (404) 6044-3079";"Zahra62@gmail.com";"8"
"989bf3fc-6f0b-44e2-8b8a-7f041830676f";"Alika Padmasari";"eaa20349-b828-4369-a44e-22ad71b5252e";"2";"212";"0";"2024-08-09";"rAS";"8";"0";"""00""";"false";"2";"2";"3";"2";"1";"0";"4";"63166783-6980-4d77-9662-0837abd6bdd1";"+62 (634) 3389-9200";"Cahyono_Putra69@gmail.com";"7"
"17c827d0-472e-40cb-b8d3-37800f42230a";"Bagus Purnawarman";"c517adef-133c-48ae-87e6-c365ba7650b2";"4";"171";"1";"2024-08-09";"keH";"19";"7";"""01""";"true";"0";"0";"0";"2";"3";"4";"2";"c5e79d81-2055-47d9-8818-2bd6382b79d8";"+62 (765) 7410-3770";"Harjasa.Adriansyah@gmail.co.id";"3"
"948cff41-6235-44d9-bfef-5e206da1732f";"Putri Vanya";"a64a9ca3-e389-4204-95ca-dd46a03b74d2";"2";"30";"1";"2024-08-09";"LLC";"12";"20";"""01""";"false";"1";"0";"4";"1";"1";"1";"3";"0c38a214-7cb0-4ab4-b550-e5a3eae5acc8";"+62 (057) 3637-8964";"Lili75@yahoo.co.id";"10"
"a89cc5e4-69c2-4684-8efe-109b1cfdcd29";"Firgantoro Jabal";"5250fc16-cc91-4f8e-9a82-12ebbc3cb015";"4";"347";"1";"2024-08-09";"wgL";"20";"2";"""00""";"false";"2";"4";"3";"4";"2";"4";"1";"fffb3290-720f-4ca8-90f9-07396d100649";"+62 (926) 7275-2001";"Maida63@gmail.co.id";"3"
"b9c13b4d-74fe-4533-a71b-167672fe5650";"Mustika Maria";"12cb70fc-8d60-4151-a51e-054095470c17";"3";"494";"0";"2024-08-09";"wrz";"13";"19";"""01""";"true";"2";"4";"2";"2";"0";"3";"1";"daf12b4d-050e-4399-925a-30949bddc0db";"+62 (582) 8030-3740";"Gandewa_Oktavian@yahoo.com";"2"
"a7a0391a-ddd8-4507-8839-2ae43db3d06f";"Nurdiyanti Agnes";"5b7e16e0-3adb-4fe9-917a-887ff4cb7a17";"2";"338";"1";"2024-08-09";"knh";"8";"9";"""00""";"true";"0";"4";"4";"0";"1";"2";"3";"75ebd821-a595-49f9-a375-6f04e39d80a9";"+62 (156) 3171-1956";"Zulaikha_Purnawati@yahoo.co.id";"5"
"750a8ba8-1adc-4dce-917c-f51683ffb878";"Waluyo Setya";"f1882c19-be32-42cc-91f9-2b67e2f5b9a3";"2";"202";"0";"2024-08-09";"Szy";"2";"4";"""00""";"true";"0";"4";"0";"1";"3";"4";"0";"250a1af6-a94f-41ae-b6d5-ddde9802ac3b";"+62 (337) 4057-0189";"Hana.Susanti@gmail.co.id";"10"
"44bb49b5-2bd0-402f-abe2-b165972e70d9";"Gadis Afifah";"7cb02fed-757f-4724-bcc1-e22bfa41ed20";"2";"191";"0";"2024-08-09";"JMo";"14";"9";"""01""";"false";"2";"1";"2";"4";"1";"4";"4";"2b4f4695-bec8-484e-93f1-877deb127b45";"+62 (589) 5929-0912";"Aulia.Purnama@yahoo.co.id";"5"
"31bf3ba9-17e0-4324-a74f-12ffb70779da";"Ramadan Nalar";"14a1455b-e1e6-4eba-96e1-3df063341fb0";"2";"159";"1";"2024-08-09";"KuZ";"17";"2";"""01""";"true";"0";"2";"2";"1";"3";"4";"0";"9f48f7d0-19be-4af1-85f9-964dcad139c3";"+62 (920) 3881-1990";"Umay_Haikal97@yahoo.com";"9"
"025080e6-2d35-41f5-8e08-0774ef7eab31";"Kairav Kairav Prakasa";"93730aa8-2729-4b06-8ad5-95b01982432c";"1";"105";"0";"2024-08-09";"CXE";"18";"17";"""01""";"true";"0";"2";"0";"4";"3";"1";"4";"3d19e326-6480-40aa-bbf3-d022dd8f9960";"+62 (007) 4784-2610";"Eka.Nanda@gmail.com";"3"
"0fa2e510-1170-4081-9658-60f873f60609";"Hutasoit Nrima";"08690c70-5306-4e45-bae1-f7e187be359e";"2";"112";"1";"2024-08-09";"XQB";"1";"4";"""01""";"false";"2";"1";"3";"3";"3";"0";"1";"9536b309-4ca9-403f-be5d-c4356e5b069c";"+62 (720) 7922-1398";"Farhunnisa28@gmail.co.id";"2"
"df879be3-8e12-4a69-8735-c2434efdca0f";"Jailani Lasmanto";"a87f6439-e4ed-429c-b8bd-2cb0d568559d";"2";"67";"1";"2024-08-09";"fZS";"17";"12";"""00""";"true";"0";"4";"2";"0";"4";"0";"4";"b18bcd1e-44f3-40c8-bd6d-8b867fd31367";"+62 (010) 7894-9482";"Darmanto96@gmail.com";"9"
"1e1f970c-3431-44ce-a1dd-96ea0b335e2d";"Teddy Setiawan";"85b14ea6-ee2d-478f-a4ec-e5fbdd5f94a0";"1";"305";"0";"2024-08-09";"EPP";"12";"20";"""00""";"false";"2";"1";"4";"4";"2";"1";"0";"cf1b3d70-d795-4075-8835-4c0589d80d0a";"+62 (570) 6272-7584";"Jagaraga.Nainggolan74@yahoo.co.id";"7"
"a2ae19d3-a70b-44c5-81fe-facbdbf11f2b";"Samosir Hari";"e70fe747-53ec-4d1c-acd2-e3da03833858";"2";"475";"1";"2024-08-09";"nmF";"11";"13";"""00""";"true";"2";"2";"0";"2";"0";"1";"1";"e639445c-adb7-4617-8b72-7bfa517f66a3";"+62 (458) 9115-1724";"Prayitna89@gmail.com";"2"
"4a490e16-fef5-4616-b596-c1baea8ed3d3";"Emil Emil Sinaga";"d63a32b0-bcc5-45e3-9e76-263b7bc5f2b4";"2";"139";"0";"2024-08-09";"SIt";"10";"2";"""01""";"true";"4";"2";"1";"4";"1";"4";"3";"fbf3bcfd-8dde-48c0-bc53-468a24012e00";"+62 (226) 4414-2505";"Dian.Amanta@yahoo.co.id";"10"
"28d78684-80bf-4b08-a55c-35889f1b41f6";"Asmianto Setiawan";"9acd9181-5e36-4c73-80a9-6c363424a969";"3";"270";"1";"2024-08-09";"gJk";"16";"14";"""00""";"true";"3";"2";"3";"4";"0";"1";"3";"e4e1c45c-0132-49bc-b6fb-d5be8403930d";"+62 (735) 7761-2472";"Irawati7@gmail.com";"4"
"dfe86907-8c26-4fca-9107-af860aa5853b";"Cemplunk Cemplunk Rayhan";"3fc48ba3-bf54-47ef-b992-532fd7bba432";"1";"43";"1";"2024-08-09";"mIn";"15";"5";"""00""";"true";"4";"2";"2";"2";"4";"3";"4";"72722bea-5e96-4f5b-ab5b-b63c61fd0192";"+62 (095) 0358-8309";"Tami_Laksmiwati8@yahoo.com";"4"
"011a4ecf-3f82-4195-a21b-2cfad1718c46";"Victoria Victoria Widiastuti";"16c9993e-1dab-4258-beda-e99b42a14220";"1";"254";"0";"2024-08-09";"cIz";"2";"2";"""00""";"true";"0";"2";"4";"1";"4";"2";"3";"994d8675-ebc0-4003-ad6b-576f9c6e0f5a";"+62 (453) 8756-6207";"Siti_Mardhiyah30@gmail.com";"5"
"37f40b49-e900-45a2-9424-94710efde0e0";"Andini Febi";"d32e8cc3-43d3-44f7-a807-bfbc9850aba4";"4";"422";"1";"2024-08-09";"fLT";"3";"8";"""01""";"false";"4";"0";"0";"0";"1";"0";"3";"4a970910-53d6-444c-bd74-fa7300ad768d";"+62 (318) 4386-8464";"Ira_Nuraini@yahoo.co.id";"10"
"986ce381-9bb5-403a-92dd-f10a6fc77c87";"Rosa Melani";"eb7beb5f-0bd4-4256-8ce3-3b0c9eadd749";"2";"34";"1";"2024-08-09";"VsH";"10";"8";"""01""";"false";"0";"0";"0";"3";"4";"2";"2";"d898ff60-362d-45db-92f4-22ef632eac8c";"+62 (124) 5981-9054";"Hilda_Aryani55@gmail.com";"6"
"382d890f-33f4-4612-95b3-143556b42a66";"Ismail Ismail Suryono";"76576657-76fb-4a30-a513-9459c1210af9";"1";"238";"1";"2024-08-09";"joP";"0";"19";"""00""";"true";"2";"0";"1";"4";"4";"3";"2";"933bc536-41cc-43a4-ac1b-d46353848eb1";"+62 (892) 1795-4817";"Mursinin_Sitompul88@yahoo.co.id";"3"
"5f330e3c-d8d6-4f33-bc66-a991c7292ad7";"Kacung Narpati";"bed3e734-889a-4035-9984-68e1962df5af";"4";"80";"0";"2024-08-09";"AzJ";"17";"8";"""00""";"true";"2";"2";"4";"1";"0";"4";"3";"7cbd5253-31e3-4332-801f-395fed386307";"+62 (221) 9802-3218";"Warta.Yanuar59@gmail.com";"9"
"88ab4967-788f-495e-8716-245801cc7e7c";"Ratih Wastuti";"bb05d0d6-6181-4a38-a8b9-b0dd67cea379";"1";"338";"0";"2024-08-09";"FTb";"2";"1";"""01""";"true";"4";"3";"2";"4";"2";"3";"0";"7f886628-998d-4a4d-bfcc-de59132f9770";"+62 (489) 5878-5878";"Danang0@yahoo.co.id";"8"
"cb3eb91e-465e-499c-8d3b-6f3a2cf1b328";"Purwa Tarihoran";"a26ca10a-1482-4631-93c5-518cc21a0b8b";"2";"346";"1";"2024-08-09";"Hay";"10";"7";"""00""";"false";"1";"1";"3";"1";"0";"1";"2";"43461d92-99ae-4178-9066-18983d655bd2";"+62 (712) 1470-6770";"Nadia.Mardhiyah@yahoo.com";"3"
